step,linear_lr,optimized_lr
0,0.0003,0.0003
1,0.00029998874953123043,0.00029999999951414946
2,0.0002999774990624609,0.00029999999902829896
3,0.0002999662485936914,0.0002999999985424485
4,0.00029995499812492186,0.00029999999805659794
5,0.0002999437476561523,0.0002999999975707475
6,0.0002999324971873828,0.000299999997084897
7,0.00029992124671861324,0.00029999999659904646
8,0.0002999099962498437,0.00029999999611319595
9,0.0002998987457810742,0.0002999999956273455
10,0.00029988749531230466,0.00029999999514149494
11,0.0002998762448435351,0.0002999999946556445
12,0.0002998649943747656,0.00029999999416979397
13,0.00029985374390599604,0.00029999999368394346
14,0.00029984249343722655,0.00029999999319809295
15,0.000299831242968457,0.0002999999927122425
16,0.00029981999249968747,0.00029999999222639194
17,0.0002998087420309179,0.0002999999917405415
18,0.0002997974915621484,0.00029999999125469097
19,0.00029978624109337884,0.00029999999076884046
20,0.00029977499062460935,0.00029999999028298995
21,0.0002997637401558398,0.0002999999897971395
22,0.00029975248968707027,0.00029999998931128894
23,0.00029974123921830073,0.0002999999888254385
24,0.0002997299887495312,0.0002999999883395879
25,0.0002997187382807617,0.00029999998785373746
26,0.00029970748781199216,0.0002999999873678869
27,0.0002996962373432226,0.00029999998688203644
28,0.0002996849868744531,0.00029999998639618593
29,0.00029967373640568353,0.0002999999859103355
30,0.000299662485936914,0.00029999998542448497
31,0.0002996512354681445,0.00029999998493863446
32,0.00029963998499937496,0.00029999998445278395
33,0.0002996287345306054,0.00029999998396693344
34,0.0002996174840618359,0.000299999983481083
35,0.00029960623359306634,0.0002999999829952325
36,0.0002995949831242968,0.00029999998250938197
37,0.0002995837326555273,0.00029999998202353146
38,0.00029957248218675776,0.00029999998153768095
39,0.0002995612317179882,0.00029999998105183044
40,0.0002995499812492187,0.00029999998056598
41,0.00029953873078044914,0.0002999999800801295
42,0.00029952748031167965,0.00029999997959427897
43,0.0002995162298429101,0.00029999997910842846
44,0.00029950497937414057,0.00029999997862257795
45,0.000299493728905371,0.00029999997813672744
46,0.0002994824784366015,0.00029999997765087693
47,0.00029947122796783194,0.0002999999771650264
48,0.00029945997749906245,0.00029999997667917597
49,0.0002994487270302929,0.0002999999761933254
50,0.00029943747656152337,0.00029999997570747495
51,0.00029942622609275383,0.00029999997522162444
52,0.0002994149756239843,0.00029999997473577393
53,0.0002994037251552148,0.0002999999742499234
54,0.00029939247468644526,0.00029999997376407297
55,0.0002993812242176757,0.00029999997327822246
56,0.0002993699737489062,0.00029999997279237195
57,0.00029935872328013663,0.00029999997230652144
58,0.0002993474728113671,0.00029999997182067093
59,0.0002993362223425976,0.0002999999713348204
60,0.00029932497187382806,0.00029999997084896997
61,0.0002993137214050585,0.0002999999703631194
62,0.000299302470936289,0.00029999996987726895
63,0.00029929122046751944,0.0002999999693914185
64,0.00029927996999874995,0.00029999996890556793
65,0.0002992687195299804,0.0002999999684197174
66,0.00029925746906121086,0.00029999996793386697
67,0.0002992462185924413,0.00029999996744801646
68,0.0002992349681236718,0.0002999999669621659
69,0.00029922371765490224,0.00029999996647631544
70,0.00029921246718613275,0.00029999996599046493
71,0.0002992012167173632,0.0002999999655046144
72,0.00029918996624859367,0.00029999996501876397
73,0.0002991787157798241,0.00029999996453291346
74,0.0002991674653110546,0.00029999996404706295
75,0.0002991562148422851,0.00029999996356121244
76,0.00029914496437351555,0.00029999996307536193
77,0.000299133713904746,0.0002999999625895114
78,0.00029912246343597647,0.00029999996210366097
79,0.00029911121296720693,0.0002999999616178104
80,0.0002990999624984374,0.0002999999611319599
81,0.0002990887120296679,0.00029999996064610944
82,0.00029907746156089836,0.00029999996016025893
83,0.0002990662110921288,0.0002999999596744084
84,0.0002990549606233593,0.0002999999591885579
85,0.00029904371015458973,0.0002999999587027074
86,0.0002990324596858202,0.0002999999582168569
87,0.0002990212092170507,0.0002999999577310064
88,0.00029900995874828116,0.00029999995724515593
89,0.0002989987082795116,0.0002999999567593054
90,0.0002989874578107421,0.00029999995627345497
91,0.00029897620734197254,0.00029999995578760446
92,0.00029896495687320305,0.00029999995530175395
93,0.0002989537064044335,0.00029999995481590344
94,0.00029894245593566396,0.00029999995433005293
95,0.0002989312054668944,0.0002999999538442024
96,0.0002989199549981249,0.00029999995335835196
97,0.00029890870452935534,0.0002999999528725014
98,0.00029889745406058585,0.0002999999523866509
99,0.0002988862035918163,0.0002999999519008004
