step,lr,loss
1.0,8.755129958960328e-10,0.6931471824645996
2.0,1.7510259917920655e-09,0.6931471824645996
3.0,2.626538987688098e-09,0.6998361945152283
4.0,3.502051983584131e-09,0.6980556845664978
5.0,4.3775649794801635e-09,0.6707123517990112
6.0,5.253077975376196e-09,0.6963956356048584
7.0,6.128590971272229e-09,0.7120819687843323
8.0,7.004103967168262e-09,0.7333127856254578
9.0,7.879616963064295e-09,0.6828325390815735
10.0,8.755129958960327e-09,0.7044398784637451
11.0,9.63064295485636e-09,0.6861777305603027
12.0,1.0506155950752393e-08,0.6991897821426392
13.0,1.1381668946648426e-08,0.706813633441925
14.0,1.2257181942544458e-08,0.7107319831848145
15.0,1.3132694938440492e-08,0.6950780153274536
16.0,1.4008207934336524e-08,0.7041332125663757
17.0,1.4883720930232558e-08,0.6952694058418274
18.0,1.575923392612859e-08,0.6685059070587158
19.0,1.663474692202462e-08,0.698024332523346
20.0,1.7510259917920654e-08,0.7036696076393127
21.0,1.838577291381669e-08,0.6913235187530518
22.0,1.926128590971272e-08,0.6979995965957642
23.0,2.0136798905608755e-08,0.6864503622055054
24.0,2.1012311901504785e-08,0.701951265335083
25.0,2.188782489740082e-08,0.6914501190185547
26.0,2.2763337893296853e-08,0.6915736198425293
27.0,2.3638850889192883e-08,0.696486234664917
28.0,2.4514363885088917e-08,0.7202781438827515
29.0,2.5389876880984954e-08,0.6791400909423828
30.0,2.6265389876880984e-08,0.6964441537857056
31.0,2.7140902872777018e-08,0.6885902881622314
32.0,2.801641586867305e-08,0.6789212226867676
33.0,2.8891928864569082e-08,0.7085568308830261
34.0,2.9767441860465116e-08,0.7034270763397217
35.0,3.0642954856361146e-08,0.7148541808128357
36.0,3.151846785225718e-08,0.7137930393218994
37.0,3.2393980848153214e-08,0.6807165145874023
38.0,3.326949384404924e-08,0.6883653402328491
39.0,3.4145006839945274e-08,0.6968000531196594
40.0,3.502051983584131e-08,0.7103575468063354
41.0,3.589603283173735e-08,0.6894935369491577
42.0,3.677154582763338e-08,0.6936129927635193
43.0,3.764705882352941e-08,0.7069162130355835
44.0,3.852257181942544e-08,0.6980623006820679
45.0,3.9398084815321476e-08,0.6830753087997437
46.0,4.027359781121751e-08,0.7358903288841248
47.0,4.1149110807113544e-08,0.686690092086792
48.0,4.202462380300957e-08,0.6997710466384888
49.0,4.2900136798905605e-08,0.6839615702629089
50.0,4.377564979480164e-08,0.7200710773468018
51.0,4.465116279069767e-08,0.692096471786499
52.0,4.5526675786593706e-08,0.668211817741394
53.0,4.640218878248973e-08,0.7074475288391113
54.0,4.7277701778385766e-08,0.703402578830719
55.0,4.81532147742818e-08,0.7161206603050232
56.0,4.9028727770177834e-08,0.6990382671356201
57.0,4.9904240766073874e-08,0.7071866989135742
58.0,5.077975376196991e-08,0.6889636516571045
59.0,5.1655266757865935e-08,0.6912192702293396
60.0,5.253077975376197e-08,0.6838579177856445
61.0,5.3406292749658e-08,0.6795120239257812
62.0,5.4281805745554036e-08,0.7177343368530273
63.0,5.515731874145007e-08,0.728875994682312
64.0,5.60328317373461e-08,0.6835880279541016
65.0,5.690834473324213e-08,0.6993609070777893
66.0,5.7783857729138164e-08,0.7142348289489746
67.0,5.86593707250342e-08,0.7153388857841492
68.0,5.953488372093023e-08,0.7048372626304626
69.0,6.041039671682627e-08,0.7117264270782471
70.0,6.128590971272229e-08,0.703973650932312
71.0,6.216142270861833e-08,0.6923038959503174
72.0,6.303693570451436e-08,0.69292151927948
73.0,6.391244870041039e-08,0.6913508176803589
74.0,6.478796169630643e-08,0.6849799156188965
75.0,6.566347469220245e-08,0.6937519311904907
76.0,6.653898768809848e-08,0.7159361839294434
77.0,6.741450068399452e-08,0.7193236351013184
78.0,6.829001367989055e-08,0.6835300922393799
79.0,6.916552667578659e-08,0.6933463215827942
80.0,7.004103967168262e-08,0.6952735185623169
81.0,7.091655266757864e-08,0.6991236805915833
82.0,7.17920656634747e-08,0.7070008516311646
83.0,7.266757865937072e-08,0.6878722906112671
84.0,7.354309165526676e-08,0.6880051493644714
85.0,7.441860465116279e-08,0.7261626720428467
86.0,7.529411764705882e-08,0.6716941595077515
87.0,7.616963064295486e-08,0.6880806684494019
88.0,7.704514363885089e-08,0.6965017318725586
89.0,7.792065663474693e-08,0.7138015031814575
90.0,7.879616963064295e-08,0.7206392288208008
91.0,7.967168262653898e-08,0.6981893181800842
92.0,8.054719562243502e-08,0.6928083300590515
93.0,8.142270861833105e-08,0.6746349334716797
94.0,8.229822161422709e-08,0.699245810508728
95.0,8.317373461012311e-08,0.6858730912208557
96.0,8.404924760601914e-08,0.6856228113174438
