step,prefix_optimized_lr
1,0.0003
2,0.0002999999997613746
3,0.0002999999995227492
4,0.0002999999992841238
5,0.00029999999904549836
6,0.000299999998806873
7,0.0002999999985682476
8,0.0002999999983296222
9,0.0002999999980909968
10,0.0002999999978523714
11,0.00029999999761374596
12,0.0002999999973751206
13,0.0002999999971364952
14,0.0002999999968978698
15,0.0002999999966592444
16,0.000299999996420619
17,0.0002999999961819935
18,0.00029999999594336815
19,0.00029999999570474274
20,0.00029999999546611737
21,0.000299999995227492
22,0.0002999999949888666
23,0.0002999999947502412
24,0.00029999999451161576
25,0.0002999999942729904
26,0.000299999994034365
27,0.0002999999937957396
28,0.00029999999355711414
29,0.0002999999933184888
30,0.00029999999307986336
31,0.000299999992841238
32,0.0002999999926026126
33,0.0002999999923639872
34,0.0002999999921253618
35,0.0002999999918867364
36,0.00029999999164811097
37,0.0002999999914094856
38,0.0002999999911708602
39,0.0002999999909322348
40,0.0002999999906936094
41,0.000299999990454984
42,0.0002999999902163586
43,0.00029999998997773316
44,0.0002999999897391078
45,0.0002999999895004824
46,0.000299999989261857
47,0.00029999998902323154
48,0.0002999999887846062
49,0.00029999998854598076
50,0.0002999999883073554
51,0.00029999998806873
52,0.00029999998783010457
53,0.00029999998759147915
54,0.0002999999873528538
55,0.00029999998711422837
56,0.000299999986875603
57,0.0002999999866369776
58,0.0002999999863983522
59,0.00029999998615972675
60,0.0002999999859211014
61,0.000299999985682476
62,0.0002999999854438506
63,0.0002999999852052252
64,0.00029999998496659983
65,0.00029999998472797436
66,0.000299999984489349
67,0.0002999999842507236
68,0.0002999999840120982
69,0.0002999999837734728
70,0.00029999998353484733
71,0.00029999998329622196
72,0.00029999998305759655
73,0.0002999999828189712
74,0.00029999998258034577
75,0.0002999999823417204
76,0.00029999998210309493
77,0.00029999998186446957
78,0.00029999998162584415
79,0.0002999999813872188
80,0.00029999998114859337
81,0.000299999980909968
82,0.00029999998067134254
83,0.0002999999804327172
84,0.00029999998019409176
85,0.0002999999799554664
86,0.000299999979716841
87,0.0002999999794782156
88,0.00029999997923959014
89,0.0002999999790009648
90,0.00029999997876233936
91,0.000299999978523714
92,0.0002999999782850886
93,0.0002999999780464632
94,0.00029999997780783775
95,0.0002999999775692124
96,0.00029999997733058697
97,0.00029999997709196155
98,0.0002999999768533362
99,0.00029999997661471077
100,0.00029999997637608535
101,0.00029999997613745994
102,0.0002999999758988346
103,0.00029999997566020916
104,0.0002999999754215838
105,0.0002999999751829584
106,0.00029999997494433296
107,0.00029999997470570754
108,0.0002999999744670822
109,0.00029999997422845676
110,0.0002999999739898314
111,0.000299999973751206
112,0.00029999997351258057
113,0.00029999997327395515
114,0.0002999999730353298
115,0.00029999997279670437
116,0.000299999972558079
117,0.0002999999723194536
118,0.00029999997208082817
119,0.00029999997184220275
120,0.0002999999716035774
121,0.000299999971364952
122,0.0002999999711263266
123,0.0002999999708877012
124,0.0002999999706490758
125,0.00029999997041045036
126,0.00029999997017182494
127,0.0002999999699331996
128,0.00029999996969457416
129,0.0002999999694559488
130,0.00029999996921732333
131,0.00029999996897869796
132,0.00029999996874007255
133,0.0002999999685014472
134,0.00029999996826282177
135,0.0002999999680241964
136,0.000299999967785571
137,0.00029999996754694557
138,0.00029999996730832015
139,0.0002999999670696948
140,0.00029999996683106937
141,0.000299999966592444
142,0.0002999999663538186
143,0.0002999999661151932
144,0.0002999999658765678
145,0.0002999999656379424
146,0.000299999965399317
147,0.0002999999651606916
148,0.0002999999649220662
149,0.0002999999646834408
150,0.0002999999644448154
151,0.00029999996420619
152,0.0002999999639675646
153,0.00029999996372893917
154,0.0002999999634903138
155,0.0002999999632516884
156,0.000299999963013063
157,0.00029999996277443755
158,0.0002999999625358122
159,0.00029999996229718677
160,0.0002999999620585614
161,0.000299999961819936
